IQ,Resume,Placed
98,Resume_0,0
115,Resume_1,1
132,Resume_2,1
156,Resume_3,1
149,Resume_4,1
153,Resume_5,1
81,Resume_6,0
103,Resume_7,0
91,Resume_8,0
114,Resume_9,1
123,Resume_10,1
120,Resume_11,1
116,Resume_12,1
130,Resume_13,1
159,Resume_14,1
113,Resume_15,1
144,Resume_16,1
157,Resume_17,1
111,Resume_18,1
132,Resume_19,1
150,Resume_20,1
115,Resume_21,1
106,Resume_22,0
133,Resume_23,1
144,Resume_24,1
149,Resume_25,1
91,Resume_26,0
99,Resume_27,0
115,Resume_28,1
151,Resume_29,1
130,Resume_30,1
157,Resume_31,1
109,Resume_32,0
113,Resume_33,1
152,Resume_34,1
133,Resume_35,1
149,Resume_36,1
139,Resume_37,1
146,Resume_38,1
96,Resume_39,0
147,Resume_40,1
146,Resume_41,1
148,Resume_42,1
90,Resume_43,0
149,Resume_44,1
90,Resume_45,0
155,Resume_46,1
108,Resume_47,0
85,Resume_48,0
114,Resume_49,1
141,Resume_50,1
154,Resume_51,1
114,Resume_52,1
153,Resume_53,1
136,Resume_54,1
141,Resume_55,1
126,Resume_56,1
126,Resume_57,1
147,Resume_58,1
134,Resume_59,1
99,Resume_60,0
98,Resume_61,0
122,Resume_62,1
149,Resume_63,1
103,Resume_64,0
115,Resume_65,1
96,Resume_66,0
106,Resume_67,0
108,Resume_68,0
81,Resume_69,0
134,Resume_70,1
136,Resume_71,1
115,Resume_72,1
88,Resume_73,0
127,Resume_74,1
138,Resume_75,1
143,Resume_76,1
137,Resume_77,1
85,Resume_78,0
119,Resume_79,1
153,Resume_80,1
154,Resume_81,1
91,Resume_82,0
107,Resume_83,0
97,Resume_84,0
144,Resume_85,1
158,Resume_86,1
84,Resume_87,0
147,Resume_88,1
124,Resume_89,1
115,Resume_90,1
134,Resume_91,1
158,Resume_92,1
109,Resume_93,0
137,Resume_94,1
142,Resume_95,1
158,Resume_96,1
132,Resume_97,1
98,Resume_98,0
123,Resume_99,1
